scan_id,id,type,balance,available,holds
0,607a84fde7edca0006274104,trade,87.12441363,87.12441363,0
0,60822a934f0cad00061d0cd7,trade,1.8340547,1.8340547,0
0,6084d015888d550006aa398f,trade,2.247e-05,0.00002247,0
0,60839ddc5c9af90006031019,trade,6.12e-06,0.00000612,0
0,608b733b0df3360006d4d208,trade,0.0074,0.0074,0
0,6083c6aedc130a0006704d8f,trade,0.06286749,0.06286749,0
0,608bc6eab9339e000616c62c,trade,0.0001,0.0001,0
0,6088f1206a195000063880df,trade,0.0251,0.0251,0
0,608bc90cc63e6b0006d945d3,trade,0.0159,0.0159,0
0,6087c5dd78e0730006c9cc38,trade,0.0017,0.0017,0
1,607a84fde7edca0006274104,trade,87.07865882,87.07865882,0
1,60822a934f0cad00061d0cd7,trade,1.8340547,1.8340547,0
1,6084d015888d550006aa398f,trade,2.03e-05,0.0000203,0
1,60839ddc5c9af90006031019,trade,6.12e-06,0.00000612,0
1,608b733b0df3360006d4d208,trade,0.0074,0.0074,0
1,6083c6aedc130a0006704d8f,trade,0.06286749,0.06286749,0
1,608bc6eab9339e000616c62c,trade,0.0001,0.0001,0
1,6088f1206a195000063880df,trade,0.0251,0.0251,0
1,608bc90cc63e6b0006d945d3,trade,0.0159,0.0159,0
1,6087c5dd78e0730006c9cc38,trade,0.0017,0.0017,0
2,607a84fde7edca0006274104,trade,87.05867742,87.05867742,0
2,60822a934f0cad00061d0cd7,trade,1.8340547,1.8340547,0
2,6084d015888d550006aa398f,trade,1.968e-05,0.00001968,0
2,60839ddc5c9af90006031019,trade,6.12e-06,0.00000612,0
2,608b733b0df3360006d4d208,trade,0.0074,0.0074,0
2,6083c6aedc130a0006704d8f,trade,0.06286749,0.06286749,0
2,608bc6eab9339e000616c62c,trade,0.0001,0.0001,0
2,6088f1206a195000063880df,trade,0.0251,0.0251,0
2,608bc90cc63e6b0006d945d3,trade,0.0159,0.0159,0
2,6087c5dd78e0730006c9cc38,trade,0.0017,0.0017,0
