scan_id,exchange,timestamp,direction,order_type,side,pair,price,qty,max_trading_qty,valid,end_profit_percent
7,KUCOIN,23:25:20,forward,buy,ask,BTC-USDT,59091.9,1.25e-06,1.2539199999999999e-06,False,1.1653513651889158
7,KUCOIN,23:25:20,forward,buy,ask,DFI-BTC,0.00007939,0.0157,0.016,True,1.1653513651889158
7,KUCOIN,23:25:20,forward,sell,bid,DFI-USDT,4.685,0.0157,0.016,True,1.1653513651889158
10,KUCOIN,23:25:27,forward,buy,ask,BTC-USDT,59082.7,1.96e-06,1.967847e-06,False,0.35753107170517495
10,KUCOIN,23:25:27,forward,buy,ask,DFI-BTC,0.00007830,0.0248,0.0249,True,0.35753107170517495
10,KUCOIN,23:25:27,forward,sell,bid,DFI-USDT,4.686,0.0248,0.0249,True,0.35753107170517495
11,KUCOIN,23:25:29,forward,buy,ask,BTC-USDT,59082.7,1.96e-06,1.967847e-06,False,0.35753107170517495
11,KUCOIN,23:25:29,forward,buy,ask,DFI-BTC,0.00007880,0.0248,0.0249,True,0.35753107170517495
11,KUCOIN,23:25:29,forward,sell,bid,DFI-USDT,4.686,0.0248,0.0249,True,0.35753107170517495
13,KUCOIN,23:25:34,forward,buy,ask,BTC-USDT,58976.8,1.94e-06,1.940706e-06,False,0.39916462743454506
13,KUCOIN,23:25:34,forward,buy,ask,DFI-BTC,0.00007880,0.0246,0.0249,True,0.39916462743454506
13,KUCOIN,23:25:34,forward,sell,bid,DFI-USDT,4.615,0.0246,0.0249,True,0.39916462743454506
