scan_id,id,asset,type,balance,available,holds
0,607a84fde7edca0006274104,USDT,trade,83.64144271,83.64144271,0
0,60822a934f0cad00061d0cd7,KCS,trade,0.82945961,0.82945961,0
0,6084d015888d550006aa398f,BTC,trade,0.00015579,0.00015579,0
0,60839ddc5c9af90006031019,ETH,trade,0.00101446,0.00101446,0
0,6084fed6dc130a0006a367fd,USDC,trade,2.58669239,2.58669239,0
0,6091ede64cdb0b0006350d3d,LTC,trade,0.002524,0.002524,0
0,60839b050df33600068acacf,MIR,trade,0.0897,0.0897,0
0,608b733b0df3360006d4d208,SENSO,trade,0.0074,0.0074,0
0,6083c6aedc130a0006704d8f,TRX,trade,0.06176749,0.06176749,0
0,6084f58adc130a0006986bbd,POLK,trade,0.0028,0.0028,0
0,60910c18988cba0006fc04f7,LTX,trade,0.0031,0.0031,0
0,608bc6eab9339e000616c62c,XHV,trade,0.0001,0.0001,0
0,6088f1206a195000063880df,CARR,trade,0.0251,0.0251,0
0,608bc90cc63e6b0006d945d3,CBC,trade,0.0159,0.0159,0
0,6090a54adc130a000619cc8d,NWC,trade,0.0004,0.0004,0
0,6087c5dd78e0730006c9cc38,SWINGBY,trade,0.0017,0.0017,0
0,6098c9957e43fd00064d4488,TOKO,trade,0.0001,0.0001,0
2,607a84fde7edca0006274104,USDT,trade,83.63245225,83.63245225,0
2,60822a934f0cad00061d0cd7,KCS,trade,0.82974836,0.82974836,0
2,6084d015888d550006aa398f,BTC,trade,0.00015579,0.00015579,0
2,60839ddc5c9af90006031019,ETH,trade,0.00101446,0.00101446,0
2,6084fed6dc130a0006a367fd,USDC,trade,2.58669239,2.58669239,0
2,6091ede64cdb0b0006350d3d,LTC,trade,0.002524,0.002524,0
2,60839b050df33600068acacf,MIR,trade,0.0901,0.0901,0
2,608b733b0df3360006d4d208,SENSO,trade,0.0074,0.0074,0
2,6083c6aedc130a0006704d8f,TRX,trade,0.06176749,0.06176749,0
2,6084f58adc130a0006986bbd,POLK,trade,0.0028,0.0028,0
2,60910c18988cba0006fc04f7,LTX,trade,0.0031,0.0031,0
2,608bc6eab9339e000616c62c,XHV,trade,0.0001,0.0001,0
2,6088f1206a195000063880df,CARR,trade,0.0251,0.0251,0
2,608bc90cc63e6b0006d945d3,CBC,trade,0.0159,0.0159,0
2,6090a54adc130a000619cc8d,NWC,trade,0.0004,0.0004,0
2,6087c5dd78e0730006c9cc38,SWINGBY,trade,0.0017,0.0017,0
2,6098c9957e43fd00064d4488,TOKO,trade,0.0001,0.0001,0
11,607a84fde7edca0006274104,USDT,trade,83.62441963,83.62441963,0
11,60822a934f0cad00061d0cd7,KCS,trade,0.83017256,0.83017256,0
11,6084d015888d550006aa398f,BTC,trade,0.00015579,0.00015579,0
11,60839ddc5c9af90006031019,ETH,trade,0.00101446,0.00101446,0
11,6084fed6dc130a0006a367fd,USDC,trade,2.58669239,2.58669239,0
11,6091ede64cdb0b0006350d3d,LTC,trade,0.002524,0.002524,0
11,60839b050df33600068acacf,MIR,trade,0.0901,0.0901,0
11,608b733b0df3360006d4d208,SENSO,trade,0.0074,0.0074,0
11,6083c6aedc130a0006704d8f,TRX,trade,0.06176749,0.06176749,0
11,6084f58adc130a0006986bbd,POLK,trade,0.0028,0.0028,0
11,60910c18988cba0006fc04f7,LTX,trade,0.0031,0.0031,0
11,608bc6eab9339e000616c62c,XHV,trade,0.0001,0.0001,0
11,6088f1206a195000063880df,CARR,trade,0.0251,0.0251,0
11,608bc90cc63e6b0006d945d3,CBC,trade,0.0159,0.0159,0
11,6090a54adc130a000619cc8d,NWC,trade,0.0004,0.0004,0
11,6087c5dd78e0730006c9cc38,SWINGBY,trade,0.0017,0.0017,0
11,6098c9957e43fd00064d4488,TOKO,trade,0.0001,0.0001,0
14,607a84fde7edca0006274104,USDT,trade,83.5881797,83.5881797,0
14,60822a934f0cad00061d0cd7,KCS,trade,0.8312943,0.8312943,0
14,6084d015888d550006aa398f,BTC,trade,0.00015579,0.00015579,0
14,60839ddc5c9af90006031019,ETH,trade,0.00101446,0.00101446,0
14,6084fed6dc130a0006a367fd,USDC,trade,2.58669239,2.58669239,0
14,6091ede64cdb0b0006350d3d,LTC,trade,0.002524,0.002524,0
14,60839b050df33600068acacf,MIR,trade,0.0922,0.0922,0
14,608b733b0df3360006d4d208,SENSO,trade,0.0074,0.0074,0
14,6083c6aedc130a0006704d8f,TRX,trade,0.06176749,0.06176749,0
14,6084f58adc130a0006986bbd,POLK,trade,0.0028,0.0028,0
14,60910c18988cba0006fc04f7,LTX,trade,0.0031,0.0031,0
14,608bc6eab9339e000616c62c,XHV,trade,0.0001,0.0001,0
14,6088f1206a195000063880df,CARR,trade,0.0251,0.0251,0
14,608bc90cc63e6b0006d945d3,CBC,trade,0.0159,0.0159,0
14,6090a54adc130a000619cc8d,NWC,trade,0.0004,0.0004,0
14,6087c5dd78e0730006c9cc38,SWINGBY,trade,0.0017,0.0017,0
14,6098c9957e43fd00064d4488,TOKO,trade,0.0001,0.0001,0
