scan_id,exchange,timestamp,direction,order_type,side,pair,price,qty,max_trading_qty,valid,end_profit_percent
0,KUCOIN,14:29:39,reverse,buy,ask,NANO-USDT,9.204457,0.000301,0.00030101900872588137,False,0.3396695752938106
0,KUCOIN,14:29:39,reverse,sell,bid,NANO-KCS,0.63721,0.0003,0.00030101900872588137,False,0.3396695752938106
0,KUCOIN,14:29:39,reverse,sell,bid,KCS-USDT,14.494,0.0001,0.000191163,False,0.3396695752938106
1,KUCOIN,14:29:42,reverse,buy,ask,NANO-USDT,9.204457,0.000301,0.00030101900872588137,False,0.3396695752938106
1,KUCOIN,14:29:42,reverse,sell,bid,NANO-KCS,0.63721,0.0003,0.00030101900872588137,False,0.3396695752938106
1,KUCOIN,14:29:42,reverse,sell,bid,KCS-USDT,14.494,0.0001,0.000191163,False,0.3396695752938106
2,KUCOIN,14:29:45,reverse,buy,ask,NANO-USDT,9.204457,0.000301,0.00030101900872588137,False,0.3396695752938106
2,KUCOIN,14:29:45,reverse,sell,bid,NANO-KCS,0.63721,0.0003,0.00030101900872588137,False,0.3396695752938106
2,KUCOIN,14:29:45,reverse,sell,bid,KCS-USDT,14.494,0.0001,0.000191163,False,0.3396695752938106
3,KUCOIN,14:29:48,reverse,buy,ask,NANO-USDT,9.204457,0.000301,0.00030101900872588137,False,0.3396695752938106
3,KUCOIN,14:29:48,reverse,sell,bid,NANO-KCS,0.63721,0.0003,0.00030101900872588137,False,0.3396695752938106
3,KUCOIN,14:29:48,reverse,sell,bid,KCS-USDT,14.494,0.0001,0.000191163,False,0.3396695752938106
4,KUCOIN,14:29:50,reverse,buy,ask,NANO-USDT,9.204457,0.000301,0.00030101900872588137,False,0.3396695752938106
4,KUCOIN,14:29:50,reverse,sell,bid,NANO-KCS,0.63721,0.0003,0.00030101900872588137,False,0.3396695752938106
4,KUCOIN,14:29:50,reverse,sell,bid,KCS-USDT,14.494,0.0001,0.000191163,False,0.3396695752938106
5,KUCOIN,14:29:53,reverse,buy,ask,NANO-USDT,9.204457,0.000301,0.00030101900872588137,False,0.3396695752938106
5,KUCOIN,14:29:53,reverse,sell,bid,NANO-KCS,0.63721,0.0003,0.00030101900872588137,False,0.3396695752938106
5,KUCOIN,14:29:53,reverse,sell,bid,KCS-USDT,14.494,0.0001,0.000191163,False,0.3396695752938106
6,KUCOIN,14:29:55,reverse,buy,ask,NANO-USDT,9.204457,0.0003,0.0003009982402003725,False,0.332746733457534
6,KUCOIN,14:29:55,reverse,sell,bid,NANO-KCS,0.63721,0.0002,0.0003009982402003725,False,0.332746733457534
6,KUCOIN,14:29:55,reverse,sell,bid,KCS-USDT,14.493,0.0001,0.000191163,False,0.332746733457534
7,KUCOIN,14:29:58,reverse,buy,ask,NANO-USDT,9.204457,0.0003,0.0003007490178942658,False,0.24967263142194884
7,KUCOIN,14:29:58,reverse,sell,bid,NANO-KCS,0.63721,0.0002,0.0003007490178942658,False,0.24967263142194884
7,KUCOIN,14:29:58,reverse,sell,bid,KCS-USDT,14.481,0.0001,0.000191163,False,0.24967263142194884
8,KUCOIN,14:30:00,reverse,buy,ask,NANO-USDT,9.204457,0.0003,0.0003008113234707925,False,0.27044115693084514
8,KUCOIN,14:30:00,reverse,sell,bid,NANO-KCS,0.63721,0.0002,0.0003008113234707925,False,0.27044115693084514
8,KUCOIN,14:30:00,reverse,sell,bid,KCS-USDT,14.484,0.0001,0.000191163,False,0.27044115693084514
9,KUCOIN,14:30:03,forward,buy,ask,BTC-USDT,54608.8,8.21e-06,8.216329470708015e-06,False,0.30001724060835233
9,KUCOIN,14:30:03,forward,buy,ask,JAR-BTC,0.0000002485,33.0382,33.06370008333206,True,0.30001724060835233
9,KUCOIN,14:30:03,forward,sell,bid,JAR-USDT,0.013611,33.0382,33.06370008333206,True,0.30001724060835233
10,KUCOIN,14:30:06,forward,buy,ask,BTC-USDT,54604.1,8.21e-06,8.217036684058522e-06,False,0.3086504765930309
10,KUCOIN,14:30:06,forward,buy,ask,JAR-BTC,0.0000002485,33.0382,33.06654601230794,True,0.3086504765930309
10,KUCOIN,14:30:06,forward,sell,bid,JAR-USDT,0.013611,33.0382,33.06654601230794,True,0.3086504765930309
11,KUCOIN,14:30:08,forward,buy,ask,BTC-USDT,54604.1,8.21e-06,8.217036684058522e-06,False,0.3086504765930309
11,KUCOIN,14:30:08,forward,buy,ask,JAR-BTC,0.0000002485,33.0382,33.06654601230794,True,0.3086504765930309
11,KUCOIN,14:30:08,forward,sell,bid,JAR-USDT,0.013611,33.0382,33.06654601230794,True,0.3086504765930309
12,KUCOIN,14:30:11,forward,buy,ask,BTC-USDT,54604.1,2.14e-06,2.1474624499999997e-06,False,0.2939111259977034
12,KUCOIN,14:30:11,forward,buy,ask,JAR-BTC,0.0000002485,8.6116,8.6417,True,0.2939111259977034
12,KUCOIN,14:30:11,forward,sell,bid,JAR-USDT,0.013609,8.6115,8.6417,True,0.2939111259977034
13,KUCOIN,14:30:13,forward,buy,ask,BTC-USDT,54604.1,2.14e-06,2.1474624499999997e-06,False,0.2939111259977034
13,KUCOIN,14:30:13,forward,buy,ask,JAR-BTC,0.0000002485,8.6116,8.6417,True,0.2939111259977034
13,KUCOIN,14:30:13,forward,sell,bid,JAR-USDT,0.013609,8.6115,8.6417,True,0.2939111259977034
14,KUCOIN,14:30:16,forward,buy,ask,BTC-USDT,54604.1,2.14e-06,2.1474624499999997e-06,False,0.2939111259977034
14,KUCOIN,14:30:16,forward,buy,ask,JAR-BTC,0.0000002485,8.6116,8.6417,True,0.2939111259977034
14,KUCOIN,14:30:16,forward,sell,bid,JAR-USDT,0.013609,8.6115,8.6417,True,0.2939111259977034
15,KUCOIN,14:30:18,forward,buy,ask,BTC-USDT,54604.1,2.14e-06,2.1474624499999997e-06,False,0.2939111259977034
15,KUCOIN,14:30:18,forward,buy,ask,JAR-BTC,0.0000002485,8.6116,8.6417,True,0.2939111259977034
15,KUCOIN,14:30:18,forward,sell,bid,JAR-USDT,0.013609,8.6115,8.6417,True,0.2939111259977034
16,KUCOIN,14:30:21,forward,buy,ask,BTC-USDT,54604.1,2.14e-06,2.1474624499999997e-06,False,0.2939111259977034
16,KUCOIN,14:30:21,forward,buy,ask,JAR-BTC,0.0000002485,8.6116,8.6417,True,0.2939111259977034
16,KUCOIN,14:30:21,forward,sell,bid,JAR-USDT,0.013609,8.6115,8.6417,True,0.2939111259977034
17,KUCOIN,14:30:24,forward,buy,ask,TRX-USDT,0.123236,0.0,3.686886e-05,False,0.3148221866055456
17,KUCOIN,14:30:24,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.3148221866055456
17,KUCOIN,14:30:24,forward,sell,bid,BTT-USDT,0.00651125,0.0,0.0007,False,0.3148221866055456
18,KUCOIN,14:30:26,forward,buy,ask,TRX-USDT,0.123241,0.0,3.686886e-05,False,0.3236931606720672
18,KUCOIN,14:30:26,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.3236931606720672
18,KUCOIN,14:30:26,forward,sell,bid,BTT-USDT,0.00651209,0.0,0.0007,False,0.3236931606720672
19,KUCOIN,14:30:29,forward,buy,ask,TRX-USDT,0.123246,0.0,3.686886e-05,False,0.32470679630498545
19,KUCOIN,14:30:29,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.32470679630498545
19,KUCOIN,14:30:29,forward,sell,bid,BTT-USDT,0.00651242,0.0,0.0007,False,0.32470679630498545
20,KUCOIN,14:30:32,forward,buy,ask,TRX-USDT,0.123244,0.0,3.686886e-05,False,0.3600726549932043
20,KUCOIN,14:30:32,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.3600726549932043
20,KUCOIN,14:30:32,forward,sell,bid,BTT-USDT,0.00651461,0.0,0.0007,False,0.3600726549932043
21,KUCOIN,14:30:35,forward,buy,ask,TRX-USDT,0.123244,0.0,3.686886e-05,False,0.3680834549920853
21,KUCOIN,14:30:35,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.3680834549920853
21,KUCOIN,14:30:35,forward,sell,bid,BTT-USDT,0.00651513,0.0,0.0007,False,0.3680834549920853
22,KUCOIN,14:30:37,forward,buy,ask,TRX-USDT,0.123244,0.0,3.686886e-05,False,0.3716266934531198
22,KUCOIN,14:30:37,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.3716266934531198
22,KUCOIN,14:30:37,forward,sell,bid,BTT-USDT,0.00651536,0.0,0.0007,False,0.3716266934531198
23,KUCOIN,14:30:40,reverse,buy,ask,DOGE-USDT,0.54031,0.0001,0.00010004887231404196,False,0.04887231404195891
23,KUCOIN,14:30:40,reverse,sell,bid,DOGE-KCS,0.037572,0.0001,0.00010004887231404196,False,0.04887231404195891
23,KUCOIN,14:30:40,reverse,sell,bid,KCS-USDT,14.486,0.0,3.7317e-06,False,0.04887231404195891
24,KUCOIN,14:30:42,reverse,buy,ask,DOGE-USDT,0.54001,32.0518,32.051858688781316,True,0.01016795985260277
24,KUCOIN,14:30:42,reverse,sell,bid,DOGE-KCS,0.037572,32.0518,32.051858688781316,True,0.01016795985260277
24,KUCOIN,14:30:42,reverse,sell,bid,KCS-USDT,14.484,1.1949,1.1949961482,True,0.01016795985260277
25,KUCOIN,14:30:49,forward,buy,ask,TRX-USDT,0.123250,0.0,3.686886e-05,False,0.31667538530475436
25,KUCOIN,14:30:49,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.31667538530475436
25,KUCOIN,14:30:49,forward,sell,bid,BTT-USDT,0.00651211,0.0,0.0007,False,0.31667538530475436
26,KUCOIN,14:30:51,forward,buy,ask,TRX-USDT,0.123256,0.0,3.686886e-05,False,0.3264257431607076
26,KUCOIN,14:30:51,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.3264257431607076
26,KUCOIN,14:30:51,forward,sell,bid,BTT-USDT,0.00651306,0.0,0.0007,False,0.3264257431607076
27,KUCOIN,14:30:54,forward,buy,ask,TRX-USDT,0.123258,0.0,3.686886e-05,False,0.3027706360041682
27,KUCOIN,14:30:54,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.3027706360041682
27,KUCOIN,14:30:54,forward,sell,bid,BTT-USDT,0.00651163,0.0,0.0007,False,0.3027706360041682
28,KUCOIN,14:30:56,forward,buy,ask,TRX-USDT,0.123255,0.0,3.686886e-05,False,0.30521198371344926
28,KUCOIN,14:30:56,forward,buy,ask,BTT-TRX,0.0526698,0.0,0.0007,False,0.30521198371344926
