scan_id,trade_num,orderId,order_type,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency,execution_time_secs
24,0,6091bd04000a840006b9f244,buy,DOGE-USDT,False,0.54001,32.0518,32.0518,17.29995905,0.01383996724,USDT,0.63383
24,1,6091bd0406a1ae000667fe78,sell,DOGE-KCS,True,0.037572,32.0518,0.0,0.0,0.0,KCS,0.49195
24,1,6091bd06000a840006b9fdcf,sell,DOGE-KCS,False,0.037269,32.0518,32.0518,1.1945385342,0.00095563082736,KCS,0.50416
24,2,6091bd075b31e60006b86657,sell,KCS-USDT,False,14.484,1.1852,1.1852,17.1688072,0.02747009152,USDT,0.54141
60,0,6091bd6d95cfe4000678b1b0,buy,KCS-USDT,True,14.491,0.0631,0.0631,0.9143821,0.0009143821,USDT,0.51585
60,1,6091bd6db9bd7f00063d2d5e,buy,NEO-KCS,True,6.887,0.009122,0.0,0.0,0.0,KCS,0.51347
60,1,6091bd70cd8d950006dd8e7a,buy,NEO-KCS,False,6.92,0.009122,0.009122,0.06312424,5.0499392e-05,KCS,0.49396
60,2,6091bd7095cfe4000678c89f,sell,NEO-USDT,False,100.1085,0.009122,0.009122,0.9132098054,0.00073056784432,USDT,0.47521
77,0,6091bd94b9bd7f00063e01d6,buy,MITX-USDT,False,0.0899,437.6805,437.6805,39.34747695,0.06295596312,USDT,0.52534
77,1,6091bd94b9bd7f00063e03d1,sell,MITX-BTC,True,1.667e-06,437.6805,0.0,0.0,0.0,BTC,0.50729
77,1,6091bd9695cfe400067991f4,sell,MITX-BTC,False,1.646e-06,437.6805,437.6805,0.000720422103,1.1526753648e-06,BTC,0.61475
77,2,6091bd97000a840006bcefab,sell,BTC-USDT,True,54630.9,0.00072042,0.0,0.0,0.0,USDT,0.54834
77,2,6091bd9906a1ae00066b078d,sell,BTC-USDT,True,54622.7,0.0005,0.0,0.0,0.0,USDT,0.55477
77,2,6091bd9b0e33aa00066722fb,sell,BTC-USDT,False,54619.8,0.00072042,0.00072042,39.349196316,0.0314793570528,USDT,0.52372
83,0,6091bdad78f3de00064b5811,buy,LINK-USDT,False,47.896,0.0025,0.0025,0.11973975,9.57918e-05,USDT,0.64036
83,1,6091bdaeb178cd000675e06d,sell,LINK-USDC,False,48.1047,0.0025,0.0025,0.12026175,9.62094e-05,USDC,0.4951
83,2,6091bdafe818d000062182a5,sell,USDC-USDT,False,0.99922,0.1201,0.1201,0.120006322,9.60050576e-05,USDT,1.28138
84,0,6091bdb35b31e60006bc0330,buy,GMB-USDT,False,0.0055,349.8253,349.8253,1.92403915,0.00153923132,USDT,0.48987
84,1,6091bdb42d264a0006497b26,sell,GMB-ETH,True,1.6621e-06,349.8253,0.0,0.0,0.0,ETH,1.06623
84,1,6091bdb6fc04e8000608e5f5,sell,GMB-ETH,False,1.6362e-06,349.8253,349.8253,0.00057238415586,4.57907324688e-07,ETH,0.53942
84,2,6091bdb7fc04e8000608e8ea,sell,ETH-USDT,True,3359.77,0.0005637,0.0,0.0,0.0,USDT,1.06843
84,2,6091bdb90e33aa000667d5ed,sell,ETH-USDT,False,3359.52,0.0005637,0.0005637,1.893761424,0.0015150091392,USDT,0.48337
93,0,6091bdd1000a840006be747c,buy,BTC-USDT,False,54501.3,4.352e-05,4.352e-05,2.371857408,0.0018974859264,USDT,0.5832
93,1,6091bdd195cfe400067b1e30,buy,NWC-BTC,True,3.492e-05,1.2357,0.0,0.0,0.0,BTC,1.2548
93,1,6091bdd42d264a00064a76dd,buy,NWC-BTC,True,3.522e-05,1.2357,1.2357,4.3521354e-05,1.044512496e-07,BTC,0.51642
93,2,6091bdd5b9bd7f00063fb8cc,sell,NWC-USDT,False,1.912408,1.2357,1.2357,2.3631625656,0.00567159015744,USDT,0.56295
