scan_id,trade_num,orderId,order_type,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency,execution_time_secs
3,0,6091fd0c95cfe400063ca782,buy,EOS-USDT,False,7.2114,0.8568,0.8568,6.17692824,0.004941542592,USDT,0.66407
3,1,6091fd0d2d264a000613dc25,sell,EOS-USDC,True,7.237,0.8568,0.0,0.0,0.0,USDC,0.49656
3,1,6091fd0fb178cd00063877f9,sell,EOS-USDC,False,7.2023,0.8568,0.8568,6.17093064,0.004936744512,USDC,1.22772
3,2,6091fd10b9bd7f0006099d78,sell,USDC-USDT,False,0.99978,6.1506,6.1506,6.149246868,0.0049193974944,USDT,1.04838
6,0,6091fd19e818d00006e412d8,buy,BTC-USDT,False,54751.9,1.401e-05,1.401e-05,0.767074119,0.0006136592952,USDT,0.59492
6,1,6091fd19e818d00006e41751,buy,XDB-BTC,True,2.12e-06,6.5478,0.0,0.0,0.0,BTC,0.51869
6,1,6091fd1bbf2e2f00067f7c3b,buy,XDB-BTC,False,2.14e-06,6.5477,6.5477,1.3946601e-05,1.11572808e-08,BTC,0.63303
6,2,6091fd1c0e33aa00062a9fcc,sell,XDB-USDT,True,0.11667268,6.5477,6.5477,0.76464433462,0.000611715467696,USDT,0.50156
13,0,6091fd2db178cd000639381e,buy,DOGE-USDT,True,0.5992,72.7332,0.0,0.0,0.0,USDT,0.6655
28,0,6091fd5706a1ae0006302868,buy,UNI-USDT,True,43.1532,0.027,0.027,1.1651364,0.00093210912,USDT,0.54923
28,1,6091fd57cd8d950006aac73e,sell,UNI-KCS,True,3.0629,0.027,0.0,0.0,0.0,KCS,0.68542
28,1,6091fd59cd8d950006aad7ff,sell,UNI-KCS,False,3.0625,0.027,0.027,0.0826875,6.615e-05,KCS,0.49313
28,2,6091fd5a95cfe400063ea55b,sell,KCS-USDT,True,14.12,0.0826,0.0,0.0,0.0,USDT,0.56571
28,2,6091fd5ca11b8d0006a7833d,sell,KCS-USDT,False,14.098,0.0826,0.0826,1.1644948,0.00186319168,USDT,0.60624
46,0,6091fd90b9bd7f00060cf643,buy,ETH-USDT,False,3341.01,0.0024543,0.0024543,8.198245548,0.0065585964384,USDT,0.76975
46,1,6091fd91bf2e2f000682862d,buy,DGB-ETH,True,4.13e-05,59.14,0.0,0.0,0.0,ETH,0.69106
46,1,6091fd93e818d00006e731de,buy,DGB-ETH,False,4.15e-05,59.14,59.14,0.00245431,1.963448e-06,ETH,0.63616
46,2,6091fd945b31e600068266d9,sell,DGB-USDT,False,0.138408,59.14,59.14,8.18544912,0.006548359296,USDT,0.51048
