scan_id,exchange,target,pair,net_forward,net_reverse,timestamp,best_direction,left_x_target_rate,right_x_target_rate,pair_rate,scan_time_secs
0,KUCOIN,USDT,LYMETH,-1.22848244229109,-1.0525160511441478,22:28:50,reverse,0.036446,4098.0,8.8e-06,1.51314
0,KUCOIN,USDT,ONTETH,-0.2606099399785067,-0.2528218386094405,22:28:50,reverse,2.68442,4098.0,0.0006534,1.51314
0,KUCOIN,USDT,GOETH,-1.1543596684216784,-0.7731022674207444,22:28:50,reverse,0.057819,4098.0,1.4e-05,1.51314
0,KUCOIN,USDT,BAXBTC,-0.26682451845021493,-1.0314106151658398,22:28:50,forward,0.0021693,58945.9,3.69e-08,1.51314
0,KUCOIN,USDT,LYMBTC,-0.3213936628277181,-1.3418811392196583,22:28:50,forward,0.036429,58945.9,6.2e-07,1.51314
0,KUCOIN,USDT,ETNETH,-0.012558247025351577,-0.19447537822202543,22:28:50,forward,0.0220855,4098.01,5.39e-06,1.51314
0,KUCOIN,USDT,AOABTC,-10.37120478269058,-2.432999929062918,22:28:50,reverse,0.0042291,58945.8,7e-08,1.51314
0,KUCOIN,USDT,DAGETH,-0.9055300608430183,-0.34969893469199986,22:28:50,reverse,0.094996,4098.0,2.31e-05,1.51314
0,KUCOIN,USDT,CBCBTC,-0.7362602625377579,-0.9753655520911675,22:28:50,forward,0.073725,58945.9,1.26e-06,1.51314
0,KUCOIN,USDT,TRXBTC,-0.039296340354355586,-0.0959577722542293,22:28:50,forward,0.146423,58945.9,2.485e-06,1.51314
0,KUCOIN,USDT,XLMETH,0.08378527386596613,-0.23457604800726228,22:28:50,forward,0.662014,4098.01,0.00016141,1.51314
0,KUCOIN,USDT,TRXETH,-0.08314015150269194,-0.07130370653628537,22:28:50,reverse,0.146444,4098.0,3.571e-05,1.51314
0,KUCOIN,USDT,XLMBTC,-0.08118850568684666,-0.13003338704050682,22:28:50,forward,0.662014,58945.9,1.124e-05,1.51314
0,KUCOIN,USDT,SUSDETH,-2.6778341788230686,-0.7224772882680419,22:28:50,reverse,1.0237,4098.0,0.000248,1.51314
0,KUCOIN,USDT,DAGBTC,-0.5647193041299459,-0.1974559770937745,22:28:50,reverse,0.094996,58945.8,1.6084e-06,1.51314
0,KUCOIN,USDT,SUSDBTC,-0.07277468073467741,-0.4422309270294189,22:28:50,forward,1.0202,58945.9,1.732e-05,1.51314
0,KUCOIN,USDT,KCSETH,-0.13682004740853682,-0.13277310924370012,22:28:50,reverse,13.209,4098.0,0.003219,1.51314
0,KUCOIN,USDT,KCSBTC,-0.13371080661862544,-0.12816988416988195,22:28:50,reverse,13.209,58945.8,0.0002238,1.51314
0,KUCOIN,USDT,VETBTC,-0.3605121693911584,-0.2538164891770611,22:28:50,reverse,0.2304736,58945.8,3.9e-06,1.51314
0,KUCOIN,USDT,VETETH,-0.04959519230613996,-0.21427182983213555,22:28:50,forward,0.2302349,4098.01,5.621e-05,1.51314
0,KUCOIN,USDT,NEOETH,-0.2277295449580552,-0.1742271423403885,22:28:50,reverse,118.877,4098.0,0.028958,1.51314
0,KUCOIN,USDT,NEOBTC,-0.16441577943857588,-0.04051395980718686,22:28:50,reverse,118.877,58945.8,0.0020159,1.51314
0,KUCOIN,USDT,NEOKCS,-0.3749878929218853,-0.2686524727238959,22:28:50,reverse,118.877,13.198,8.983,1.51314
0,KUCOIN,USDT,ETHUSDC,-0.1105033041613801,0.017170712126102217,22:28:50,reverse,4098.01,0.99925,4101.79,1.51314
0,KUCOIN,USDT,ETHBTC,-0.008090836301932747,0.006239389362172609,22:28:50,reverse,4098.01,58945.8,0.069526,1.51314
0,KUCOIN,USDT,BTCUSDC,-0.04991275646130111,-0.10178413596195757,22:28:50,forward,58945.8,0.99946,59007.1,1.51314
0,KUCOIN,USDT,MHCETH,-0.5633130925906005,-1.0914906764566856,22:28:50,forward,0.027302,4098.01,6.7e-06,1.51314
0,KUCOIN,USDT,MHCBTC,-0.4148642273522629,-1.0963568027334558,22:28:50,forward,0.027302,58945.9,4.651e-07,1.51314
0,KUCOIN,USDT,ANKRBTC,-0.3818011824706202,-0.11609986102336656,22:28:50,reverse,0.1583,58945.8,2.6824e-06,1.51314
0,KUCOIN,USDT,XMRBTC,-0.22216813995865614,-0.1706686764402221,22:28:50,reverse,484.3,58945.8,0.008202,1.51314
0,KUCOIN,USDT,XMRETH,-0.1864167953109508,-0.21966549659302448,22:28:50,forward,483.4,4098.01,0.11818,1.51314
0,KUCOIN,USDT,MTVBTC,-0.48403037088949885,-0.2758023585609837,22:28:50,reverse,0.0080388,58945.8,1.36e-07,1.51314
0,KUCOIN,USDT,MTVETH,-0.45310713332857855,-0.08359456635320672,22:28:50,reverse,0.0080388,4098.0,1.96e-06,1.51314
0,KUCOIN,USDT,CROBTC,-0.1882209681917324,-0.4097290181020119,22:28:50,forward,0.1818,58945.9,3.09e-06,1.51314
0,KUCOIN,USDT,TRXKCS,-0.21519941616525706,-0.3778290677665219,22:28:50,forward,0.146423,13.209,0.011109,1.51314
0,KUCOIN,USDT,ATOMBTC,-0.0933869498108919,-0.07289618529453534,22:28:50,reverse,29.0219,58945.8,0.00049199,1.51314
0,KUCOIN,USDT,ATOMETH,-0.0069618370341029134,-0.09837398654118923,22:28:50,forward,28.9955,4098.01,0.007076,1.51314
0,KUCOIN,USDT,ATOMKCS,-0.6412842576013711,-0.2756738876503406,22:28:50,reverse,29.0219,13.198,2.1929,1.51314
0,KUCOIN,USDT,CHRBTC,-0.2937061318467715,-0.262590133624685,22:28:50,reverse,0.35697,58945.8,6.04e-06,1.51314
0,KUCOIN,USDT,NIMBTC,-0.9820138107147436,-0.2799513661916553,22:28:50,reverse,0.0114735,58945.8,1.941e-07,1.51314
0,KUCOIN,USDT,NIMETH,-1.263594817798941,-0.3493267093737762,22:28:50,reverse,0.0114735,4098.0,2.79e-06,1.51314
0,KUCOIN,USDT,COTIBTC,-0.41716217752209017,-0.6601646304361108,22:28:50,forward,0.291152,58945.9,4.96e-06,1.51314
0,KUCOIN,USDT,PIVXBTC,-0.8057087228535265,-0.19878546731791902,22:28:50,reverse,1.8221,58945.8,3.085e-05,1.51314
0,KUCOIN,USDT,PIVXETH,-1.1371827814893098,-0.09705285110586104,22:28:50,reverse,1.8221,4098.0,0.0004442,1.51314
0,KUCOIN,USDT,BNBBTC,-0.11089408965675451,-0.01347433772991291,22:28:50,reverse,674.083,58945.8,0.0114341,1.51314
0,KUCOIN,USDT,JARBTC,-0.24336893345703325,-0.6627091584158307,22:28:50,forward,0.014436,58945.9,2.455e-07,1.51314
0,KUCOIN,USDT,ALGOBTC,-0.059714859089332606,-0.08860156760286397,22:28:50,forward,1.5305,58945.9,2.598e-05,1.51314
0,KUCOIN,USDT,ALGOETH,-0.14065389530985017,-0.15976485956890052,22:28:50,forward,1.5305,4098.01,0.000374,1.51314
0,KUCOIN,USDT,XEMBTC,-0.3323386359356806,-0.31452281069742627,22:28:50,reverse,0.3814,58945.8,6.45e-06,1.51314
0,KUCOIN,USDT,XTZBTC,-0.10532127359851318,-0.20771720560545104,22:28:50,forward,7.0955,58945.9,0.0001205,1.51314
0,KUCOIN,USDT,ZECBTC,-0.09045110186678418,-0.11987225597227535,22:28:50,forward,313.55,58945.9,0.0053241,1.51314
0,KUCOIN,USDT,ADABTC,-0.041820141539417044,-0.10432824504448268,22:28:50,forward,1.755264,58945.9,2.979e-05,1.51314
0,KUCOIN,USDT,WXTBTC,-2.976837285395184,-0.9768173488087672,22:28:50,reverse,0.019644,58945.8,3.3e-07,1.51314
0,KUCOIN,USDT,FORESTPLUSBTC,-0.03579890851258538,-0.18317625884134436,22:28:50,forward,0.056886,58945.9,9.654e-07,1.51314
0,KUCOIN,USDT,BOLTBTC,-0.11296740769486391,-0.5501840516343948,22:28:50,forward,0.014343,58945.9,2.436e-07,1.51314
0,KUCOIN,USDT,CHZBTC,-0.3643996961737783,-0.26780871548521823,22:28:50,reverse,0.49544,58945.8,8.3825e-06,1.51314
0,KUCOIN,USDT,DAPPTBTC,-0.36747748264295277,-0.4736165904637435,22:28:50,forward,0.0060961,58945.9,1.038e-07,1.51314
0,KUCOIN,USDT,NOIABTC,-0.42003498909096715,-0.15746357263409783,22:28:50,reverse,0.659463,58945.8,1.117e-05,1.51314
0,KUCOIN,USDT,WINBTC,-0.5781296424861249,-0.5563620234917521,22:28:50,reverse,0.00126257,58945.8,2.13e-08,1.51314
0,KUCOIN,USDT,DEROBTC,-1.43622395121894,-1.113364055763899,22:28:50,reverse,5.95439,58945.8,9.989e-05,1.51314
0,KUCOIN,USDT,ENQBTC,-0.21667017013597967,-0.2796616541353436,22:28:50,forward,0.14881,58945.9,2.53e-06,1.51314
0,KUCOIN,USDT,ONEBTC,-0.27101598898789936,-0.33350241492622335,22:28:50,forward,0.135796,58945.9,2.31e-06,1.51314
0,KUCOIN,USDT,TOKOBTC,-0.43801265701819414,-1.1538710777626138,22:28:50,forward,0.105051,58945.9,1.79e-06,1.51314
0,KUCOIN,USDT,VIDBTC,-1.2863192175847304,-0.3166832594613034,22:28:50,reverse,0.43995,58945.8,7.44e-06,1.51314
0,KUCOIN,USDT,LUNABTC,-0.13551264906472849,-0.14471833669897904,22:28:50,forward,17.5615,58945.9,0.00029833,1.51314
0,KUCOIN,USDT,SXPBTC,-0.10085043393713855,-0.11807777255637975,22:28:50,forward,5.1031,58945.9,8.666e-05,1.51314
0,KUCOIN,USDT,VIDTBTC,-0.857622035668193,-0.004966022151298155,22:28:50,reverse,1.5981,58945.8,2.711e-05,1.51314
0,KUCOIN,USDT,AKROBTC,-0.5636492493403256,-0.20923732290780706,22:28:50,reverse,0.051668,58945.8,8.747e-07,1.51314
0,KUCOIN,USDT,BTTTRX,-0.2887549235195075,-0.27509860591728996,22:28:50,reverse,0.0072736,0.146423,0.0495386,1.51314
0,KUCOIN,USDT,WINTRX,-0.9059420518019445,-0.02617902373729386,22:28:50,reverse,0.00126257,0.146423,0.0086205,1.51314
0,KUCOIN,USDT,MAPBTC,-1.0669105060742146,-2.1049602602992823,22:28:50,forward,0.058317,58945.9,1e-06,1.51314
0,KUCOIN,USDT,AMPLBTC,-0.05771835761941846,-0.09511139277530445,22:28:50,forward,1.23008,58945.9,2.088e-05,1.51314
