scan_id,exchange,timestamp,direction,order_type,side,pair,price,qty,max_trading_qty,valid,end_profit_percent
0,KUCOIN,18:11:12,forward,buy,ask,KCS-USDT,14.351,0.0001,0.0001325286,False,0.03349573538746764
0,KUCOIN,18:11:12,forward,buy,ask,TRX-KCS,0.008662,0.0115,0.0153,False,0.03349573538746764
0,KUCOIN,18:11:12,forward,sell,bid,TRX-USDT,0.124350,0.0115,0.0153,False,0.03349573538746764
1,KUCOIN,18:11:14,forward,buy,ask,BTC-USDT,54944.6,3.92e-06,3.928917280000001e-06,False,0.33405396887429273
1,KUCOIN,18:11:14,forward,buy,ask,KAI-BTC,0.0000021187,1.8501,1.8544000000000003,False,0.33405396887429273
1,KUCOIN,18:11:14,forward,sell,bid,KAI-USDT,0.1168000,1.8501,1.8544000000000003,False,0.33405396887429273
2,KUCOIN,18:11:17,forward,buy,ask,BTC-USDT,54950.0,3.92e-06,3.928917280000001e-06,False,0.32419402544514586
2,KUCOIN,18:11:17,forward,buy,ask,KAI-BTC,0.0000021187,1.8501,1.8544000000000003,False,0.32419402544514586
2,KUCOIN,18:11:17,forward,sell,bid,KAI-USDT,0.1168000,1.8501,1.8544000000000003,False,0.32419402544514586
3,KUCOIN,18:11:20,forward,buy,ask,BTC-USDT,54939.9,3.92e-06,3.928917280000001e-06,False,0.3426373491435486
3,KUCOIN,18:11:20,forward,buy,ask,KAI-BTC,0.0000021187,1.8501,1.8544000000000003,False,0.3426373491435486
3,KUCOIN,18:11:20,forward,sell,bid,KAI-USDT,0.1168000,1.8501,1.8544000000000003,False,0.3426373491435486
4,KUCOIN,18:11:22,forward,buy,ask,BTC-USDT,54950.0,3.92e-06,3.928917280000001e-06,False,0.32419402544514586
4,KUCOIN,18:11:22,forward,buy,ask,KAI-BTC,0.0000021187,1.8501,1.8544000000000003,False,0.32419402544514586
4,KUCOIN,18:11:22,forward,sell,bid,KAI-USDT,0.1168000,1.8501,1.8544000000000003,False,0.32419402544514586
5,KUCOIN,18:11:24,forward,buy,ask,BTC-USDT,54935.5,3.92e-06,3.928917280000001e-06,False,0.35067418514822535
