scan_id,trade_num,orderId,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency
61,0,6091b5c995cfe400064891dd,DSLA-USDT,False,0.01615,113.6328,113.6328,1.83516972,0.001468135776,USDT
61,1,6091b5cabf2e2f000682800d,DSLA-BTC,True,2.96e-07,113.6328,0.0,0.0,0.0,BTC
61,1,6091b5ccb178cd0006445cd5,DSLA-BTC,False,2.946e-07,113.6328,113.6328,3.347622288e-05,2.6780978304e-08,BTC
61,2,6091b5cca11b8d0006b184b6,BTC-USDT,True,54729.6,3.337e-05,0.0,0.0,0.0,USDT
61,2,6091b5cebf2e2f0006829cf9,BTC-USDT,False,54728.7,3.337e-05,3.337e-05,1.826296719,0.0014610373752,USDT
67,0,6091b5e02d264a000617b113,BTC-USDT,True,54799.4,3.715e-05,0.0,0.0,0.0,USDT
78,0,6091b5fb0e33aa0006378a8e,ETH-USDT,False,3390.82,0.0004648,0.0004648,1.576034544,0.0012608276352,USDT
78,1,6091b5fce818d00006f181fa,KAI-ETH,True,3.444e-05,13.4354,0.0,0.0,0.0,ETH
78,1,6091b5fe5b31e600068bd1f9,KAI-ETH,False,3.473e-05,13.4354,13.4354,0.000466611442,3.732891536e-07,ETH
78,2,6091b5fffc04e80006d8f583,KAI-USDT,False,0.1172811,13.4354,13.4354,1.57876429612,0.001263011436896,USDT
