scan_id,trade_num,orderId,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency
2,0,6091141d78f3de000675aff9,BTC-USDT,False,56277.8,5.707e-05,5.707e-05,3.211774046,0.0025694192368,USDT
2,1,6091141ecd8d950006ef6b69,POLK-BTC,True,3.512e-05,1.6241,0.0,0.0,0.0,BTC
2,1,60911421a11b8d0006070383,POLK-BTC,False,3.514e-05,1.6241,1.6241,5.7070874e-05,9.13133984e-08,BTC
2,2,6091142195cfe40006a1acc7,POLK-USDT,False,1.98,1.6241,1.6241,3.215718,0.0051451488,USDT
5,0,6091142a06a1ae00069183d6,ETH-USDT,True,3364.94,0.0102339,0.0,0.0,0.0,USDT
6,0,6091142f78f3de0006761c8e,BTC-USDT,False,56258.5,3.643e-05,3.643e-05,2.049497155,0.001639597724,USDT
6,1,6091142f000a840006e50744,POLK-BTC,False,3.515e-05,1.0364,1.0364,3.642946e-05,5.8287136e-08,BTC
6,2,6091143006a1ae000691a6b4,POLK-USDT,False,1.98,1.0364,1.0364,2.052072,0.0032833152,USDT
