scan_id,exchange,timestamp,direction,order_type,side,pair,price,qty,max_trading_qty,valid,end_profit_percent
2,KUCOIN,02:30:04,forward,buy,ask,BTC-USDT,56277.8,5.707e-05,5.7070874000000005e-05,True,0.12126343576537302
2,KUCOIN,02:30:04,forward,buy,ask,POLK-BTC,0.00003512,1.6241,1.6241,True,0.12126343576537302
2,KUCOIN,02:30:04,forward,sell,bid,POLK-USDT,1.9800,1.6241,1.6241,True,0.12126343576537302
5,KUCOIN,02:30:16,forward,buy,ask,ETH-USDT,3364.94,0.0102339,0.010233927777018315,True,-0.19447627669625378
5,KUCOIN,02:30:16,forward,buy,ask,UBX-ETH,0.0000005586,18320.6229,18320.67271217027,True,-0.19447627669625378
5,KUCOIN,02:30:16,forward,sell,bid,UBX-USDT,0.001876,18320.6228,18320.67271217027,True,-0.19447627669625378
6,KUCOIN,02:30:22,forward,buy,ask,BTC-USDT,56258.5,3.643e-05,3.643649e-05,True,0.1271171907375246
6,KUCOIN,02:30:22,forward,buy,ask,POLK-BTC,0.00003515,1.0364,1.0366,True,0.1271171907375246
6,KUCOIN,02:30:22,forward,sell,bid,POLK-USDT,1.9800,1.0364,1.0366,True,0.1271171907375246
7,KUCOIN,02:30:26,forward,buy,ask,KCS-USDT,14.884,0.0435,0.0435980385,True,0.19061703266389785
7,KUCOIN,02:30:26,forward,buy,ask,VET-KCS,0.013515,3.2186,3.2259,True,0.19061703266389785
7,KUCOIN,02:30:26,forward,sell,bid,VET-USDT,0.2015407,3.2186,3.2259,False,0.19061703266389785
