scan_id,id,asset,type,balance,available,holds
5,607a84fde7edca0006274104,USDT,trade,86.65499238,86.65499238,0
5,60822a934f0cad00061d0cd7,KCS,trade,1.79559933,1.79559933,0
5,6084d015888d550006aa398f,BTC,trade,2.6e-05,0.000026,0
5,608b733b0df3360006d4d208,SENSO,trade,0.0074,0.0074,0
5,6083c6aedc130a0006704d8f,TRX,trade,0.06176749,0.06176749,0
5,60910c18988cba0006fc04f7,LTX,trade,0.0031,0.0031,0
5,608bc6eab9339e000616c62c,XHV,trade,0.0001,0.0001,0
5,6088f1206a195000063880df,CARR,trade,0.0251,0.0251,0
5,608bc90cc63e6b0006d945d3,CBC,trade,0.0159,0.0159,0
5,6087c5dd78e0730006c9cc38,SWINGBY,trade,0.0017,0.0017,0
5,6090a54adc130a000619cc8d,NWC,trade,0.0004,0.0004,0
5,60839ddc5c9af90006031019,ETH,trade,1.6e-07,0.00000016,0
7,607a84fde7edca0006274104,USDT,trade,53.61839083,53.61839083,0
7,6084d015888d550006aa398f,BTC,trade,0.00061893,0.00061893,0
7,60822a934f0cad00061d0cd7,KCS,trade,1.79207971,1.79207971,0
7,608b733b0df3360006d4d208,SENSO,trade,0.0074,0.0074,0
7,6083c6aedc130a0006704d8f,TRX,trade,0.06176749,0.06176749,0
7,60910c18988cba0006fc04f7,LTX,trade,0.0031,0.0031,0
7,608bc6eab9339e000616c62c,XHV,trade,0.0001,0.0001,0
7,6088f1206a195000063880df,CARR,trade,0.0251,0.0251,0
7,608bc90cc63e6b0006d945d3,CBC,trade,0.0159,0.0159,0
7,6087c5dd78e0730006c9cc38,SWINGBY,trade,0.0017,0.0017,0
7,6090a54adc130a000619cc8d,NWC,trade,0.0004,0.0004,0
7,60839ddc5c9af90006031019,ETH,trade,1.6e-07,0.00000016,0
