scan_id,exchange,timestamp,direction,order_type,side,pair,price,qty,max_trading_qty,valid,end_profit_percent
0,KUCOIN,02:13:44,forward,buy,ask,BTC-USDT,56143.3,2.59e-06,2.5948278779480365e-06,False,0.24872132669482294
0,KUCOIN,02:13:44,forward,buy,ask,DFI-BTC,0.00007210,0.0359,0.03598929095628344,True,0.24872132669482294
0,KUCOIN,02:13:44,forward,sell,bid,DFI-USDT,4.058,0.0359,0.03598929095628344,True,0.24872132669482294
1,KUCOIN,02:13:47,forward,buy,ask,BTC-USDT,56143.3,2.59e-06,2.5948278779480365e-06,False,0.24872132669482294
1,KUCOIN,02:13:47,forward,buy,ask,DFI-BTC,0.00007210,0.0359,0.03598929095628344,True,0.24872132669482294
1,KUCOIN,02:13:47,forward,sell,bid,DFI-USDT,4.058,0.0359,0.03598929095628344,True,0.24872132669482294
2,KUCOIN,02:13:50,forward,buy,ask,BTC-USDT,56148.5,0.00038202,0.00038202224458355966,True,-0.20519319082742404
2,KUCOIN,02:13:50,forward,buy,ask,DFI-BTC,0.00007210,5.2984,5.298505472726209,True,-0.20519319082742404
2,KUCOIN,02:13:50,forward,sell,bid,DFI-USDT,4.040,5.2984,5.298505472726209,True,-0.20519319082742404
3,KUCOIN,02:13:55,reverse,buy,ask,POLK-USDT,1.9311,1.0869,1.086976999946766,True,0.21915913210086568
3,KUCOIN,02:13:55,reverse,sell,bid,POLK-BTC,0.00003446,1.0869,1.086976999946766,True,0.21915913210086568
3,KUCOIN,02:13:55,reverse,sell,bid,BTC-USDT,56161.7,3.737e-05,3.7375316e-05,True,0.21915913210086568
4,KUCOIN,02:14:01,reverse,buy,ask,ETC-USDT,53.5112,0.825246,2.0625708636890323,True,-0.10931352688782203
4,KUCOIN,02:14:01,reverse,sell,bid,ETC-ETH,0.016031,0.825246,2.0625708636890323,True,-0.10931352688782203
4,KUCOIN,02:14:01,reverse,sell,bid,ETH-USDT,3353.79,0.0132295,0.032909228664,True,-0.10931352688782203
5,KUCOIN,02:14:06,reverse,buy,ask,MIR-USDT,9.931,0.2657,0.26571857378511726,True,0.23333601852784103
5,KUCOIN,02:14:06,reverse,sell,bid,MIR-KCS,0.6643,0.2657,0.26571857378511726,True,0.23333601852784103
5,KUCOIN,02:14:06,reverse,sell,bid,KCS-USDT,14.998,0.1759,0.17594686999999998,True,0.23333601852784103
6,KUCOIN,02:14:14,reverse,buy,ask,XRP-USDT,1.47065,0.0003,0.0003005437350831265,False,0.18124502770884288
6,KUCOIN,02:14:14,reverse,sell,bid,XRP-KCS,0.09828,0.0002,0.0003005437350831265,False,0.18124502770884288
6,KUCOIN,02:14:14,reverse,sell,bid,KCS-USDT,14.991,0.0,2.9484e-05,False,0.18124502770884288
7,KUCOIN,02:14:17,reverse,buy,ask,XRP-USDT,1.47119,0.0003,0.00030045346148356095,False,0.15115382785364506
7,KUCOIN,02:14:17,reverse,sell,bid,XRP-KCS,0.09828,0.0002,0.00030045346148356095,False,0.15115382785364506
7,KUCOIN,02:14:17,reverse,sell,bid,KCS-USDT,14.992,0.0,2.9484e-05,False,0.15115382785364506
8,KUCOIN,02:14:19,reverse,buy,ask,XRP-USDT,1.47075,0.0003,0.0003006836756756757,False,0.22789189189189596
8,KUCOIN,02:14:19,reverse,sell,bid,XRP-KCS,0.09828,0.0002,0.0003006836756756757,False,0.22789189189189596
8,KUCOIN,02:14:19,reverse,sell,bid,KCS-USDT,14.999,0.0,2.9484e-05,False,0.22789189189189596
9,KUCOIN,02:14:22,reverse,buy,ask,SENSO-USDT,1.959739,1.4746,1.4746,True,-0.218411125154927
9,KUCOIN,02:14:22,reverse,sell,bid,SENSO-BTC,0.00003479,1.4746,1.4746,True,-0.218411125154927
9,KUCOIN,02:14:22,reverse,sell,bid,BTC-USDT,56175.2,5.13e-05,5.144318363619533e-05,True,-0.218411125154927
10,KUCOIN,02:14:27,reverse,buy,ask,MIR-USDT,9.931,0.061,0.06103697379518681,False,0.22491591984694637
10,KUCOIN,02:14:27,reverse,sell,bid,MIR-KCS,0.6636,0.061,0.06103697379518681,True,0.22491591984694637
10,KUCOIN,02:14:27,reverse,sell,bid,KCS-USDT,14.999,0.0404,0.04041324,True,0.22491591984694637
