scan_id,trade_num,orderId,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency
2,0,6091104f78f3de00065b78d9,BTC-USDT,True,56148.5,0.00038202,0.0,0.0,0.0,USDT
3,0,6091105495cfe40006874520,POLK-USDT,False,1.9311,1.0869,1.0869,2.09891259,0.003358260144,USDT
3,1,60911055a11b8d0006eca64c,POLK-BTC,True,3.446e-05,1.0869,1.0846,3.7375316e-05,5.98005056e-08,BTC
3,2,6091105778f3de00065ba915,BTC-USDT,False,56161.7,3.729e-05,3.729e-05,2.094459972,0.0016755679776,USDT
4,0,6091105a78f3de00065bc270,ETC-USDT,True,53.5112,0.825246,0.0,0.0,0.0,USDT
5,0,6091105fbf2e2f0006aaa12a,MIR-USDT,False,9.931,0.2657,0.2657,2.6386667,0.00422186672,USDT
5,1,609110605b31e60006c7eb78,MIR-KCS,True,0.6643,0.2657,0.0,0.0,0.0,KCS
5,1,609110625b31e60006c7fafe,MIR-KCS,False,0.6637,0.2651,0.2651,0.17594687,0.000140757496,KCS
5,1,609110625b31e60006c7fafe,MIR-KCS,False,0.6637,0.2651,0.2651,0.17594687,0.000140757496,KCS
5,2,6091106478f3de00065bff28,KCS-USDT,False,14.998,0.3506,0.3506,5.2582988,0.00841327808,USDT
9,0,6091106fe818d000062e0c44,SENSO-USDT,False,1.959739,1.4746,1.4746,2.8898311294,0.00231186490352,USDT
9,1,60911070fc04e80006195807,SENSO-BTC,False,3.479e-05,1.4746,1.4746,5.1301334e-05,4.10410672e-08,BTC
9,2,609110702d264a00063f47db,BTC-USDT,False,56175.2,5.13e-05,5.13e-05,2.88178776,0.002305430208,USDT
